country_name,iso_code,url
Guadeloupe,GLP,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/French-Guadeloupe.zip
Martinique,MTQ,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/French-Martinique.zip
Gabon,GAB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Gabon.zip
Gaza Strip,GAZ,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Gaza%20Strip.zip
Georgia,GEO,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Georgia.zip
Germany,DEU,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Germany.zip
Ghana,GHA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Ghana.zip
Greece,GRC,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Greece.zip
Grenada,GRD,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Grenada.zip
Guatemala,GTM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Guatemala.zip
Guinea-Bissau,GNB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Guinea-Bissau.zip
Guinea,GIN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Guinea.zip
Guyana,GUY,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Guyana.zip
Haiti,HTI,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Haiti.zip
Honduras,HDN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Honduras.zip
Hungary,HUN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Hungary.zip
Iceland,ISL,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Iceland.zip
India,IND,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/India.zip
Iran,IRN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Iran.zip
Iraq,IRQ,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Iraq.zip
Ireland,IRL,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Ireland.zip
Isle of Man,IMN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Isle%20of%20Man.zip
Israel,ISR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Israel.zip
Italy,ITA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Italy.zip
Côte d'Ivoire,CIV,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Ivory%20Coast.zip
Jamaica,JAM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Jamaica.zip
Jordan,JOR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Jordan.zip
Kazakhstan,KAZ,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Kazakhstan.zip
Kingdom of Saudi Arabia,SAL,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Kingdom%20of%20Saudi%20Arabia.zip
Kosovo,KOS,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Kosovo.zip
Kuwait,KWT,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Kuwait.zip
Kyrgyzstan,KGZ,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Kyrgyzstan.zip
Laos,LAO,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Laos.zip
Latvia,LVA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Latvia.zip
Lebanon,LBN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Lebanon.zip
Lesotho,LSO,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Lesotho.zip
Liberia,LBR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Liberia.zip
Libya,LBY,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Libya.zip
Lithuania,LTU,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Lithuania.zip
Luxembourg,LUX,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Luxembourg.zip
Madagascar,MDG,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Madagascar.zip
Malawi,MWI,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Malawi.zip
Maldives,MDV,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Maldives.zip
Mali,MLI,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mali.zip
Malta,MLT,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Malta.zip
Mauritania,MRT,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mauritania.zip
Mauritius,MUS,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mauritius.zip
Mayotte,MYT,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mayotte.zip
Mexico,MEX,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mexico.zip
Moldova,MDA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Moldova.zip
Mongolia,MNG,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mongolia.zip
Montenegro,MNE,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Montenegro.zip
Montserrat,MSR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Montserrat.zip
Morocco,MAR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Morocco.zip
Mozambique,MOZ,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Mozambique.zip
Myanmar,MMR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Myanmar.zip
Namibia,NAM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Namibia.zip
Nepal,NPL,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Nepal.zip
Netherlands,NLD,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Netherlands.zip
Nicaragua,NIC,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Nicaragua.zip
Niger,NER,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Niger.zip
North Korea,PRK,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/North%20Korea.zip
Norway,NOR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Norway.zip
Pakistan,PAK,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Pakistan.zip
Panama,PAN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Panama.zip
Paraguay,PRY,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Paraguay.zip
Peru,PER,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Peru.zip
Poland,POL,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Poland.zip
Portugal,PRT,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Portugal.zip
Puerto Rico,PRI,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Puerto%20Rico.zip
Yemen,YEM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Republic%20of%20Yemen.zip
Republic of the Congo,COG,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Republic%20of%20the%20Congo.zip
Reunion,REU,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Reunion.zip
Romania,ROU,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Romania.zip
Russia,RUS,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Russia.zip
Rwanda,RWA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Rwanda.zip
Saint Barthelemy,BLM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Saint%20Barthelemy.zip
Saint Helena Ascension and Tristan da Cunha,SHN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Saint%20Helena%2C%20Ascension%20and%20Tristan%20da%20Cunha.zip
Saint Lucia,LCA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Saint%20Lucia.zip
San Marino,SMR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/San%20Marino.zip
Senegal,SEN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Senegal.zip
Serbia,SRB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Serbia.zip
